candidate_id,name,slug,domain,source,source_url,source_id,type_guess,status_guess,hei_existing_check,decision,notes,generated_at
hei_unadded_0001,02x6,02x6,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,02x6,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0002,1,1,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,1,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0003,123456-exchange,123456-exchange,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,123456-exchange,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0004,1776.MEME,1776-meme,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,1776.meme,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Launchpad; chains=Ethereum,2026-06-11T02:37:49.704Z
hei_unadded_0005,1inch Liquidity Protocol,1inch-liquidity-protocol,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,1inch-liquidity-protocol,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0006,1inch Liquidity Protocol (BSC),1inch-liquidity-protocol-bsc,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,1inch-liquidity-protocol-bsc,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0007,2THICK,2thick,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,2thick,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Sonic,2026-06-11T02:37:49.704Z
hei_unadded_0008,365 stream,365-stream,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,365-stream,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0009,3XBIT,3xbit,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,3xbit,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0010,3xcalibur,3xcalibur,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,3xcalibur,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Arbitrum,2026-06-11T02:37:49.704Z
hei_unadded_0011,4swap,4swap,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,4swap,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0012,ABCC,abcc,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,abcc,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0013,ABcDeFX,abcdefx,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,abcdefx,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Kava|KCC|Fantom,2026-06-11T02:37:49.704Z
hei_unadded_0014,ABIT,abit,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,abit,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0015,Aborean AMM,aborean-amm,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,aborean-amm,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Abstract,2026-06-11T02:37:49.704Z
hei_unadded_0016,Aborean CL,aborean-cl,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,aborean-cl,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Abstract,2026-06-11T02:37:49.704Z
hei_unadded_0017,Aborean Finance V3,aborean-finance-v3,app.aborean.finance,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=2,aborean-finance-v3,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=346,2026-06-11T02:37:49.704Z
hei_unadded_0018,Aequinox,aequinox,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,aequinox,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=BSC,2026-06-11T02:37:49.704Z
hei_unadded_0019,AethonSwap,aethonswap,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,aethonswap,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Monad,2026-06-11T02:37:49.704Z
hei_unadded_0020,AfroDex,afrodex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,afrodex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0021,AjuBit,ajubit,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,ajubit,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0022,Aktionariat,aktionariat,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,aktionariat,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=RWA; chains=Ethereum|OP Mainnet|Polygon,2026-06-11T02:37:49.704Z
hei_unadded_0023,Aldrin,aldrin,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,aldrin,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Solana,2026-06-11T02:37:49.704Z
hei_unadded_0024,Alien Base V2,alien-base-v2,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alien-base-v2,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Base,2026-06-11T02:37:49.704Z
hei_unadded_0025,Alien Base V3,alien-base-v3,app.alienbase.xyz,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=2,alien-base-v3,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=347,2026-06-11T02:37:49.704Z
hei_unadded_0026,AlienFi,alienfi,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alienfi,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Arbitrum,2026-06-11T02:37:49.704Z
hei_unadded_0027,Alita Finance,alita-finance,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alita-finance,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=BSC,2026-06-11T02:37:49.704Z
hei_unadded_0028,Allbridge Classic,allbridge-classic,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,allbridge-classic,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Bridge; chains=BSC|Ethereum|Heco|Stellar|Avalanche|Polygon|Solana|Celo|Fantom|Kaia|Aurora|Near|Terra Classic|Tezos|Harmony|Waves|Fuse|Stacks,2026-06-11T02:37:49.704Z
hei_unadded_0029,ALP.COM,btc-alpha,alp.com,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=1,btc_alpha,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=155,2026-06-11T02:37:49.704Z
hei_unadded_0030,alpaca,alpaca,,ccxt_supported_exchanges,https://raw.githubusercontent.com/ccxt/ccxt/master/js/ccxt.js,alpaca,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,Imported from CCXT generated exchange list.,2026-06-11T02:37:49.704Z
hei_unadded_0031,Alpha Arcade,alpha-arcade,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alpha-arcade,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Prediction Market; chains=Algorand,2026-06-11T02:37:49.704Z
hei_unadded_0032,AlphaEX,alphaex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,alphaex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0033,AlphaQ,alphaq,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alphaq,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Solana,2026-06-11T02:37:49.704Z
hei_unadded_0034,AlphaSec Spot,alphasec-spot,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alphasec-spot,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=AlphaSec,2026-06-11T02:37:49.704Z
hei_unadded_0035,AlphaX,alphax-spot,alphax.com,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=1,alphax-spot,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=193,2026-06-11T02:37:49.704Z
hei_unadded_0036,Alphix,alphix,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alphix,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Base|Arbitrum,2026-06-11T02:37:49.704Z
hei_unadded_0037,Alt Fun,alt-fun,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,alt-fun,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Launchpad; chains=Hyperliquid L1,2026-06-11T02:37:49.704Z
hei_unadded_0038,Altcoin Trader,altcoin-trader,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,altcoin-trader,cex_or_exchange_like,inactive_or_dead,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=false,2026-06-11T02:37:49.704Z
